,Launch_Date,LEO,SSO,MEO,GTO,HEO,BEO
216,2023-05-10,70.0,,,,,
217,2023-05-14,43.01,,,,,
218,2023-05-19,43.0,,,,,
219,2023-05-20,86.68,,,,,
220,2023-05-21,51.65,,,,,
221,2023-05-27,,,,27.83,,
222,2023-05-31,70.01,,,,,
223,2023-06-04,43.01,,,,,
224,2023-06-05,51.65,,,,,
225,2023-06-12,43.0,97.51,,,,
226,2023-06-18,,,,8.84,,
227,2023-06-22,43.0,,,,,
228,2023-06-23,43.0,,,,,
229,2023-07-01,,,,,,36.87
230,2023-07-07,43.0,,,,,
231,2023-07-10,43.01,,,,,
232,2023-07-16,43.01,,,,,
233,2023-07-20,43.0,,,,,
234,2023-07-24,43.0,,,,,
235,2023-07-28,43.01,,,,,
236,2023-08-03,,,,0.05,,
237,2023-08-07,43.0,,,,,
238,2023-08-08,43.0,,,,,
239,2023-08-11,43.0,,,,,
240,2023-08-17,43.0,,,,,
241,2023-08-22,53.05,,,,,
242,2023-08-26,51.64,,,,,
243,2023-08-27,43.0,,,,,
244,2023-09-01,43.0,,,,,
245,2023-09-02,80.99,,,,,
246,2023-09-04,43.0,,,,,
247,2023-09-09,43.0,,,,,
248,2023-09-12,53.06,,,,,
249,2023-09-16,43.0,,,,,
250,2023-09-20,43.0,,,,,
251,2023-09-24,43.0,,,,,
252,2023-09-25,53.06,,,,,
253,2023-09-30,43.0,,,,,
254,2023-10-05,43.0,,,,,
255,2023-10-09,53.06,,,,,
256,2023-10-13,43.0,,,,,
257,2023-10-18,43.0,,,,,
258,2023-10-21,53.06,,,,,
259,2023-10-22,43.01,,,,,
260,2023-10-29,53.06,,,,,
261,2023-10-30,43.01,,,,,
262,2023-11-04,43.01,,,,,
263,2023-11-08,43.01,,,,,
264,2023-11-10,51.65,,,,,
265,2023-11-11,,97.48,,,,
266,2023-11-12,,,2.35,,,
267,2023-11-18,43.01,,,,,
268,2023-11-20,53.06,,,,,
269,2023-11-22,43.01,,,,,
270,2023-11-28,43.01,,,,,
271,2023-12-01,,97.64,,,,
272,2023-12-03,43.01,,,,,
273,2023-12-07,43.01,,,,,
274,2023-12-08,53.17,,,,,
275,2023-12-19,43.01,,,,,
276,2023-12-23,43.01,,,,,
277,2023-12-24,88.27,,,,,
278,2023-12-29,43.0,,,,,
279,2024-01-03,53.17,,,4.52,,
280,2024-01-07,43.01,,,,,
281,2024-01-14,53.17,,,,,
282,2024-01-15,43.01,,,,,
283,2024-01-18,51.64,,,,,
284,2024-01-24,53.17,,,,,
285,2024-01-29,48.09,,,,,
286,2024-01-30,51.7,,,,,
287,2024-02-08,,98.07,,,,
288,2024-02-10,53.17,,,,,
289,2024-02-14,40.0,,,,,
290,2024-02-15,53.17,,,,,28.6
291,2024-02-20,,,,0.02,,
292,2024-02-23,53.17,,,,,
293,2024-02-25,43.01,,,,,
294,2024-02-29,43.01,,,,,
295,2024-03-04,47.33,97.75,,,,
296,2024-03-10,43.01,,,,,
297,2024-03-11,53.17,,,,,
298,2024-03-16,43.01,,,,,
299,2024-03-19,53.17,,,,,
300,2024-03-21,51.65,,,,,
301,2024-03-24,43.01,,,,,
302,2024-03-25,43.01,,,,,
303,2024-03-30,,,,0.09,,
304,2024-03-31,43.01,,,,,
305,2024-04-02,53.17,,,,,
306,2024-04-05,43.01,,,,,
307,2024-04-07,49.3,,,,,
308,2024-04-10,43.01,,,,,
309,2024-04-11,,98.71,,,,
310,2024-04-13,43.01,,,,,
311,2024-04-17,43.01,,,,,
312,2024-04-18,43.01,,,,,
313,2024-04-23,43.01,,,,,
314,2024-04-28,43.01,,54.72,,,
315,2024-05-02,,97.58,,,,
316,2024-05-03,43.01,,,,,
317,2024-05-06,43.01,,,,,
318,2024-05-08,43.01,,,,,
319,2024-05-10,53.17,,,,,
320,2024-05-13,43.01,,,,,
321,2024-05-14,53.17,,,,,
322,2024-05-18,43.01,,,,,
323,2024-05-22,70.01,,,,,
324,2024-05-23,43.01,,,,,
325,2024-05-24,43.01,,,,,
326,2024-05-28,43.01,96.98,,,,
327,2024-06-01,43.01,,,,,
328,2024-06-05,53.15,,,,,
329,2024-06-08,53.16,,,,,
330,2024-06-19,53.17,,,,,
331,2024-06-20,,,,18.52,,
332,2024-06-23,53.15,,,,,
333,2024-06-24,53.17,,,,,
334,2024-06-27,53.16,,,,,
335,2024-06-29,70.01,,,,,
336,2024-07-03,53.16,,,,,
337,2024-07-08,,,,24.1,,
338,2024-07-12,53.17,,,,,
339,2024-07-27,53.16,,,,,
340,2024-07-28,53.165,,,,,
341,2024-08-02,53.16,,,,,
342,2024-08-04,52.41,,,,,
343,2024-08-10,53.16,,,,,
344,2024-08-12,53.16,,,,62.36,
345,2024-08-15,44.99,,,,,
346,2024-08-16,,97.44,,,,
347,2024-08-20,53.16,,,,,
348,2024-08-28,53.16,,,,,
349,2024-08-31,53.165,,,,,
350,2024-09-05,53.16,,,,,
351,2024-09-06,70.0,,,,,
352,2024-09-10,51.65,,,,,
353,2024-09-12,52.98,,,,,
354,2024-09-13,53.17,,,,,
355,2024-09-17,,,55.38,,,
356,2024-09-20,53.17,,,,,
357,2024-09-25,53.17,,,,,
358,2024-09-28,51.62,,,,,
359,2024-10-07,,,,,,34.2
360,2024-10-15,53.165,,,,,
361,2024-10-18,53.16,,,,,
362,2024-10-20,86.51,,,,,
363,2024-10-23,43.01,,,,,
364,2024-10-24,70.01,,,,,
365,2024-10-26,53.16,,,,,
366,2024-10-30,53.165,,,,,
367,2024-11-05,51.65,,,,,
368,2024-11-07,43.01,,,,,
369,2024-11-09,53.17,,,,,
370,2024-11-11,43.01,,,0.02,,
371,2024-11-14,48.09,,,,,
372,2024-11-17,,,,0.01,,
373,2024-11-18,53.17,,,0.05,,
374,2024-11-21,43.01,,,,,
375,2024-11-24,53.17,,,,,
376,2024-11-25,43.01,,,,,
377,2024-11-27,43.01,,,,,
378,2024-11-30,56.510000000000005,,,,,
379,2024-12-04,43.01,,,,,
380,2024-12-05,53.17,,,0.02,,
381,2024-12-08,43.01,,,,,
382,2024-12-13,53.17,,,,,
383,2024-12-17,69.92,,0.03,54.99,,
384,2024-12-21,45.41,,,,,
385,2024-12-23,43.01,,,,,
386,2024-12-29,53.17,,,12.31,,
387,2024-12-31,43.0,,,,,
388,2025-01-04,,,,14.64,,
389,2025-01-06,43.01,,,,,
390,2025-01-08,43.01,,,,,
391,2025-01-10,56.504999999999995,,,,,
392,2025-01-13,43.01,,,,,
393,2025-01-14,97.44,,,,,
394,2025-01-15,,,,,,35.04
395,2025-01-21,48.084999999999994,,,,,
396,2025-01-24,53.15,,,,,
397,2025-01-27,43.0,,,,,
398,2025-01-30,,,,26.82,,
399,2025-02-01,53.15,,,,,
400,2025-02-04,44.025,,,,,
401,2025-02-08,43.01,,,,,
402,2025-02-11,48.08,,,,,
403,2025-02-15,43.01,,,,,
404,2025-02-18,53.17,,,,,
405,2025-02-21,43.0,,,,,
406,2025-02-23,70.0,,,,,
407,2025-02-27,43.01,,,,,28.52
408,2025-03-03,43.01,,,,,
409,2025-03-12,,97.95,,,,
410,2025-03-13,43.01,,,,,
411,2025-03-14,51.65,,,,,
412,2025-03-15,70.22,,,,,
413,2025-03-18,43.01,,,,,
414,2025-03-21,69.99,,,,,
415,2025-03-24,64.07,,,,,
416,2025-03-26,53.16,,,,,
417,2025-03-31,43.0,,,,,
418,2025-04-01,90.0,,,,,
419,2025-04-04,53.16,,,,,
420,2025-04-06,43.0,,,,,
421,2025-04-07,53.16,,,,,
422,2025-04-12,69.9,,,,,
423,2025-04-13,43.01,,,,,
424,2025-04-14,43.0,,,,,
425,2025-04-20,69.99,,,,,
426,2025-04-21,51.65,,,,,
427,2025-04-22,45.41,,,,,
428,2025-04-25,43.0,,,,,
429,2025-04-28,48.084999999999994,,,,,
430,2025-04-29,43.01,,,,,
431,2025-05-02,43.0,,,,,
432,2025-05-04,43.0,,,,,
433,2025-05-07,43.0,,,,,
434,2025-05-10,56.5,,,,,
435,2025-05-13,56.5,,,,,
436,2025-05-14,43.0,,,,,
437,2025-05-16,69.99,,,,,
438,2025-05-21,43.01,,,,,
439,2025-05-23,53.16,,,,,
440,2025-05-24,43.01,,,,,
441,2025-05-27,,97.6,,,,
442,2025-05-28,53.16,,,,,
443,2025-05-30,,,,55.0,,
444,2025-05-31,53.16,,,,,
445,2025-06-03,43.01,,,,,
446,2025-06-04,53.16,,,,,
447,2025-06-07,,,,0.02,,
448,2025-06-08,70.0,,,,,
449,2025-06-10,43.0,,,,,
450,2025-06-13,56.5,,,,,
451,2025-06-17,70.0,,,,,
452,2025-06-18,53.16,,,,,
453,2025-06-23,75.305,,,,,
454,2025-06-25,52.379999999999995,,,,,
455,2025-06-28,61.58,,,,,
456,2025-07-01,21.22,,,,,
457,2025-07-02,53.16,,,,,
458,2025-07-08,53.16,,,,,
459,2025-07-13,,,,1.98,,
460,2025-07-16,60.94,,,,,
461,2025-07-19,,97.6,,,,
462,2025-07-22,,,5.09,,,
463,2025-07-23,,97.44,,,,
464,2025-07-26,53.16,,,,,
465,2025-07-27,,97.6,,,,
466,2025-07-30,53.16,,,,,
467,2025-07-31,,97.61,,,,
468,2025-08-01,51.65,,,,,
469,2025-08-04,53.16,,,,,
470,2025-08-11,51.88,,,,,
471,2025-08-14,53.16,97.6,,,,
472,2025-08-18,,97.6,,,,
473,2025-08-22,49.52,97.6,,,,
474,2025-08-24,51.55,,,,,
475,2025-08-26,,97.26,,,,
476,2025-08-27,53.16,,,,,
477,2025-08-28,53.16,,,,,
478,2025-08-30,,97.6,,,,
479,2025-08-31,53.16,,,,,
480,2025-09-03,53.16,97.6,,,,
481,2025-09-05,53.16,,,,,
482,2025-09-06,,97.6,,,,
483,2025-09-10,81.3,,,,,
484,2025-09-12,,,,0.28,,
485,2025-09-13,,97.6,,,,
486,2025-09-14,51.65,,,,,
487,2025-09-18,53.16,,,,,
