,Launch_Date,LEO,SSO,MEO,GTO,HEO,BEO
284,2024-01-24,16060.0,,,,,
285,2024-01-29,16425.0,,,,,
286,2024-01-30,2474.0,,,,,
287,2024-02-08,,1700.0,,,,
288,2024-02-10,16060.0,,,,,
289,2024-02-14,6000.0,,,,,
290,2024-02-15,16060.0,,,,,1908.0
291,2024-02-20,,,,4000.0,,
292,2024-02-23,16060.0,,,,,
293,2024-02-25,17520.0,,,,,
294,2024-02-29,16790.0,,,,,
295,2024-03-04,13840.0,3632.3,,,,
296,2024-03-10,16790.0,,,,,
297,2024-03-11,16790.0,,,,,
298,2024-03-16,16790.0,,,,,
299,2024-03-19,16060.0,,,,,
300,2024-03-21,10050.0,,,,,
301,2024-03-24,16790.0,,,,,
302,2024-03-25,16790.0,,,,,
303,2024-03-30,,,,5000.0,,
304,2024-03-31,16790.0,,,,,
305,2024-04-02,16060.0,,,,,
306,2024-04-05,16790.0,,,,,
307,2024-04-07,9029.0,,,,,
308,2024-04-10,16790.0,,,,,
309,2024-04-11,,1200.0,,,,
310,2024-04-13,16790.0,,,,,
311,2024-04-17,16790.0,,,,,
312,2024-04-18,16790.0,,,,,
313,2024-04-23,16790.0,,,,,
314,2024-04-28,16790.0,,1466.0,,,
315,2024-05-02,,1400.0,,,,
316,2024-05-03,16790.0,,,,,
317,2024-05-06,16790.0,,,,,
318,2024-05-08,16790.0,,,,,
319,2024-05-10,17590.0,,,,,
320,2024-05-13,16790.0,,,,,
321,2024-05-14,17590.0,,,,,
322,2024-05-18,16790.0,,,,,
323,2024-05-22,15750.0,,,,,
324,2024-05-23,16790.0,,,,,
325,2024-05-24,16790.0,,,,,
326,2024-05-28,16790.0,2200.0,,,,
327,2024-06-01,16790.0,,,,,
328,2024-06-05,17590.0,,,,,
329,2024-06-08,16825.0,,,,,
330,2024-06-19,17590.0,,,,,
331,2024-06-20,,,,5000.0,,
332,2024-06-23,16060.0,,,,,
333,2024-06-24,17590.0,,,,,
334,2024-06-27,16790.0,,,,,
335,2024-06-29,15750.0,,,,,
336,2024-07-03,17590.0,,,,,
337,2024-07-08,,,,4250.0,,
338,2024-07-12,1920.0,,,,,
339,2024-07-27,16790.0,,,,,
340,2024-07-28,17555.0,,,,,
341,2024-08-02,16790.0,,,,,
342,2024-08-04,9639.5,,,,,
343,2024-08-10,18320.0,,,,,
344,2024-08-12,16790.0,,,,7200.0,
345,2024-08-15,1400.0,,,,,
346,2024-08-16,,2417.388,,,,
347,2024-08-20,16060.0,,,,,
348,2024-08-28,18320.0,,,,,
349,2024-08-31,18320.0,,,,,
350,2024-09-05,18320.0,,,,,
351,2024-09-06,15750.0,,,,,
352,2024-09-10,10700.0,,,,,
353,2024-09-12,7500.0,,,,,
354,2024-09-13,18320.0,,,,,
355,2024-09-17,,,1466.0,,,
356,2024-09-20,17590.0,,,,,
357,2024-09-25,17590.0,,,,,
358,2024-09-28,10890.0,,,,,
359,2024-10-07,,,,,,1081.0
360,2024-10-15,17190.0,,,,,
361,2024-10-18,17590.0,,,,,
362,2024-10-20,2960.0,,,,,
363,2024-10-23,16790.0,,,,,
364,2024-10-24,13600.0,,,,,
365,2024-10-26,16060.0,,,,,
366,2024-10-30,17190.0,,,,,
367,2024-11-05,10023.0,,,,,
368,2024-11-07,16790.0,,,,,
369,2024-11-09,17590.0,,,,,
370,2024-11-11,17520.0,,,3500.0,,
371,2024-11-14,17555.0,,,,,
372,2024-11-17,,,,4000.0,,
373,2024-11-18,17590.0,,,4700.0,,
374,2024-11-21,17520.0,,,,,
375,2024-11-24,17590.0,,,,,
