,Launch_Date,LEO,SSO,MEO,GTO,HEO,BEO
231,2023-07-10,321.0,,,,,
232,2023-07-16,338.0,,,,,
233,2023-07-20,312.0,,,,,
234,2023-07-24,302.0,,,,,
235,2023-07-28,321.0,,,,,
236,2023-08-03,,,,35798.0,,
237,2023-08-07,292.0,,,,,
238,2023-08-08,292.0,,,,,
239,2023-08-11,293.0,,,,,
240,2023-08-17,292.0,,,,,
241,2023-08-22,294.0,,,,,
242,2023-08-26,268.0,,,,,
243,2023-08-27,291.0,,,,,
244,2023-09-01,292.0,,,,,
245,2023-09-02,947.0,,,,,
246,2023-09-04,292.0,,,,,
247,2023-09-09,292.0,,,,,
248,2023-09-12,294.0,,,,,
249,2023-09-16,292.0,,,,,
250,2023-09-20,288.0,,,,,
251,2023-09-24,293.0,,,,,
252,2023-09-25,293.0,,,,,
253,2023-09-30,293.0,,,,,
254,2023-10-05,291.0,,,,,
255,2023-10-09,295.0,,,,,
256,2023-10-13,292.0,,,,,
257,2023-10-18,292.0,,,,,
258,2023-10-21,295.0,,,,,
259,2023-10-22,290.0,,,,,
260,2023-10-29,294.0,,,,,
261,2023-10-30,292.0,,,,,
262,2023-11-04,292.0,,,,,
263,2023-11-08,292.0,,,,,
264,2023-11-10,209.0,,,,,
265,2023-11-11,,531.0,,,,
266,2023-11-12,,,8195.0,,,
267,2023-11-18,291.0,,,,,
268,2023-11-20,292.0,,,,,
269,2023-11-22,292.0,,,,,
270,2023-11-28,292.0,,,,,
271,2023-12-01,,569.0,,,,
272,2023-12-03,292.0,,,,,
273,2023-12-07,291.0,,,,,
274,2023-12-08,295.0,,,,,
275,2023-12-19,292.0,,,,,
276,2023-12-23,292.0,,,,,
277,2023-12-24,500.0,,,,,
278,2023-12-29,287.0,,,,,
279,2024-01-03,344.0,,,53666.0,,
280,2024-01-07,289.0,,,,,
281,2024-01-14,293.0,,,,,
282,2024-01-15,291.0,,,,,
283,2024-01-18,296.0,,,,,
284,2024-01-24,296.0,,,,,
285,2024-01-29,292.5,,,,,
286,2024-01-30,251.0,,,,,
287,2024-02-08,,677.0,,,,
288,2024-02-10,295.0,,,,,
289,2024-02-14,1002.0,,,,,
290,2024-02-15,294.0,,,,,411633.0
291,2024-02-20,,,,35789.0,,
292,2024-02-23,294.0,,,,,
293,2024-02-25,277.0,,,,,
294,2024-02-29,292.0,,,,,
295,2024-03-04,253.5,603.0,,,,
296,2024-03-10,292.0,,,,,
297,2024-03-11,280.0,,,,,
298,2024-03-16,288.0,,,,,
