Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,V2_Payload_Category,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type,days_since_last
2023-173,2460258.56,2023-11-10,Falcon 9,FT5,270/B1081.2  F272,Dragon CRS-29,Dragon C211.2,-,-,KSC,LC39A,-,-,209.0, ,    -, ,-,18.566,SPX,OS,-,CX,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10006.0,2023-11-10,193.0,51.65,LLEO/I,Other,B,Government,67.0
2024-014,2460328.41,2024-01-18,Falcon 9,FT5,295/B1080.5  F292,Axiom Ax-3,Dragon C212.3,-,-,KSC,LC39A,-,-,296.0, ,    -, ,-,13.0,SPX,OS,-,CX,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10700.0,2024-01-18,210.0,51.64,LLEO/I,Other,B,Government,69.0
2024-019,2460338.55,2024-01-29,Falcon 9,FT5,293/B1062.18 F294,Starlink-138,Starlink Group 6-38,V2M  6-38 (23 Ku),-,KSC,LC39A,-,-,291.0, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16790.0,2024-01-29,283.0,43.01,LLEO/I,Communications,B,Starlink,11.0
2024-030,2460355.75,2024-02-15,Falcon 9,FT5,301/B1060.18 F300,IM-1,IM-1,-,-,KSC,LC39A,-,-,411633.0, ,    -, ,-,1.91,SPX,OS,-,C,Sat EEO O,Wire,-,-,BEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,1908.0,2024-02-15,223.0,28.6,CLO,Other,B,Commercial,17.0
2024-042,2460373.66,2024-03-04,Falcon 9,FT5,304/B1083.1  F306,Dragon Crew-8,Dragon C206.5,-,-,KSC,LC39A,-,-,215.0, ,    -, ,-,13.055,SPX,OS,-,CX,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10890.0,2024-03-04,191.0,51.65,LLEO/I,Other,B,Government,18.0
2024-049,2460385.51,2024-03-16,Falcon 9,FT5,313/B1062.19 F311,Starlink-148,Starlink Group 6-44,-,-,KSC,LC39A,-,-,288.0, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16790.0,2024-03-17,279.0,43.01,LLEO/I,Communications,B,Starlink,12.0
2024-056,2460393.63,2024-03-24,Falcon 9,FT5,314/B1060.19 F314,Starlink-150,Starlink Group 6-42,V2M  6-42 (23 Ku),-,KSC,LC39A,-,-,292.0, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16790.0,2024-03-24,285.0,43.01,LLEO/I,Communications,B,Starlink,8.0
2024-059,2460400.41,2024-03-30,Falcon 9,FT5,316/B1076.12 F316,EUTELSAT 36D,EUTELSAT 36D,-,-,KSC,LC39A,-,-,35799.0, ,    -, ,-,5.0,SPX,OS,-,C,Sat STO O,Wire,-,-,GTO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,5000.0,2024-08-31,35774.0,0.09,GEO/S,Communications,B,Commercial,6.0
2024-066,2460408.47,2024-04-07,Falcon 9,FT5,322/B1073.14 F321,Bandwagon-1,Bandwagon-1,-,-,KSC,LC39A,-,-,573.0, ,    -, ,-,1.848,SPX,OS,-,C/OG,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,1348.0,2024-04-08,564.0,45.42,LLEO/I,Observation,B,Government,8.0
2024-073,2460418.39,2024-04-17,Falcon 9,FT5,325/B1077.12 F325,Starlink-158,Starlink Group 6-51,V2M  6-51 (23 Ku),-,KSC,LC39A,-,-,292.0, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16790.0,2024-04-18,285.0,43.01,LLEO/I,Communications,B,Starlink,10.0
2024-079,2460428.52,2024-04-28,Falcon 9,FT5,332/B1060.20 F328,Galileo FM25/FM27,Galileo L12,-,-,KSC,LC39A,-,-,23228.0, ,    -, ,-,1.466,SPX,OS,-,C,Sat MEO O,Wire,-,-,MEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,1466.0,2024-07-14,23216.0,54.72,MEO,Communications,C,Commercial,11.0
2024-086,2460439.28,2024-05-08,Falcon 9,FT5,334/B1083.3  F333,Starlink-164,Starlink Group 6-56,V2M  6-56 (23 Ku),-,KSC,LC39A,-,-,320.0, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16790.0,2024-05-10,313.0,43.01,LLEO/I,Communications,B,Starlink,10.0
2024-098,2460454.61,2024-05-24,Falcon 9,FT5,341/B1077.13 F340,Starlink-170,Starlink Group 6-63,V2M  6-63 (23 Ku),-,KSC,LC39A,-,-,292.0, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16790.0,2024-05-24,285.0,43.01,LLEO/I,Communications,B,Starlink,16.0
2024-131,2460518.74,2024-07-27,Falcon 9,FT5,362/B1069.17 F356,Starlink-182,Starlink Group 10-9,V2M  10-9 (23 Ku),-,KSC,LC39A,-,-,276.0, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16790.0,2024-07-27,265.0,53.16,LLEO/I,Communications,B,Starlink,64.0
2024-136,2460524.71,2024-08-02,Falcon 9,FT5,360/B1078.12 F359,Starlink-185,Starlink Group 10-6,V2M  10-6 (23 Ku),-,KSC,LC39A,-,-,285.0, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16790.0,2024-08-02,273.0,53.16,LLEO/I,Communications,B,Starlink,6.0
2024-144,2460534.94,2024-08-12,Falcon 9,FT5,357/B1073.17 F364,Starlink-188,Starlink Group 10-7,V2M  10-7 (23 Ku),-,KSC,LC39A,-,-,278.0, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16790.0,2024-08-12,268.0,53.16,LLEO/I,Communications,B,Starlink,10.0
2024-161,2460563.89,2024-09-10,Falcon 9,FT5,349/B1083.4  F373,Polaris Dawn,Dragon C207.3,-,-,KSC,LC39A,-,-,1200.0, ,    -, ,-,13.5,SPX,OS,-,C,Sat LEO D,polarisprogram.com,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10700.0,2024-09-10,195.0,51.65,LEO/I,Other,B,Commercial,29.0
2024-200,2460619.6,2024-11-05,Falcon 9,FT5,390/B1083.5  F390,Dragon CRS-31,Dragon C208.5,-,-,KSC,LC39A,-,-,210.0, ,    -, ,-,17.87,SPX,OS,-,CX,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10023.0,2024-11-05,193.0,51.65,LLEO/I,Other,B,Government,56.0
2024-206,2460626.22,2024-11-11,Falcon 9,FT5,398/B1067.23 F393,Koreasat-6A,Koreasat-6A,-,-,KSC,LC39A,-,-,35795.0, ,    -, ,-,3.5,SPX,OS,-,C,Sat GTO O,SpaceX,-,-,GTO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,3500.0,2024-12-12,35779.0,0.02,GEO/S,Communications,B,Commercial,6.0
2024-212,2460632.44,2024-11-17,Falcon 9,FT5,400/B1077.16 F397,TD7,Optus X,-,-,KSC,LC39A,-,-,35791.0, ,    -, ,-,4.5,SPX,OS,-,C,Sat STO O,SpaceX,-,-,GTO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,4000.0,2025-01-17,35783.0,0.01,GEO/S,Communications,D,Military,6.0
2024-222,2460641.7,2024-11-27,Falcon 9,FT5,405/B1078.15 F403,Starlink-213,Starlink Group 6-76,V2M  6-76 (24 Ku),-,KSC,LC39A,-,-,291.0, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,17520.0,2024-11-27,284.0,43.01,LLEO/I,Communications,B,Starlink,10.0
2024-234,2460650.17,2024-12-05,Falcon 9,FT5,409/B1076.19 F408,SXM-9,SXM-9,-,-,KSC,LC39A,-,-,35806.0, ,    -, ,-,4.5,SPX,OS,-,C,Sat STO O,SpaceX,-,-,GTO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,7000.0,2025-02-10,35766.0,0.02,GEO/S,Communications,B,Commercial,8.0
2024-244,2460662.43,2024-12-17,Falcon 9,FT5,411/B1090.1  F413,O3b mPOWER 7/8,O3b mPOWER 7/8,-,-,KSC,LC39A,-,-,8073.0, ,    -, ,-,3.4,SPX,OS,-,C,Sat MEO O,Wire,-,-,MEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,3400.0,2025-05-31,8058.0,0.03,MEO,Communications,B,Commercial,12.0
2024-249,2460667.73,2024-12-23,Falcon 9,FT5,417/B1080.14 F415,Starlink-220,Starlink Group 12-2,"V2M  12-2 (13 DTC,8 Ku)",-,KSC,LC39A,-,-,288.0, ,    -, ,-,13.7,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,18320.0,2024-12-24,281.0,43.01,LLEO/I,Communications,B,Starlink,6.0
2024-254,2460675.74,2024-12-31,Falcon 9,FT5,420/B1078.16 F418,Starlink-222,Starlink Group 12-6,"V2M  12-6 (13 DTC,8 Ku)",-,KSC,LC39A,-,-,277.0, ,    -, ,-,13.7,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,18320.0,2024-12-31,270.0,43.0,LLEO/I,Communications,B,Starlink,8.0
2025-004,2460684.14,2025-01-08,Falcon 9,FT5,422/B1086.3  F421,Starlink-224,Starlink Group 12-11,"V2M  12-11 (13 DTC,8 Ku)",-,KSC,LC39A,-,-,282.0, ,    -, ,-,13.7,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,18320.0,2025-01-08,273.0,43.01,LLEO/I,Communications,B,Starlink,8.0
2025-010,2460690.76,2025-01-15,Falcon 9,FT5,427/B1085.5  F426,Blue Ghost 1,BG-1/Hakuto-R M2,-,-,KSC,LC39A,-,-,322453.0, ,    -, ,-,2.55,SPX,DS,-,C,Sat DSO O,SpaceX,-,-,BEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,2550.0,2025-01-15,189.0,35.04,CLO,Other,B,Commercial,7.0
2025-014,2460696.73,2025-01-21,Falcon 9,FT5,430/B1083.8  F427,Starlink-227,Starlink Group 13-1,V2M  13-1  (21 Ku)+2NRO?,-,KSC,LC39A,-,-,313.0, ,    -, ,-,15.3,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16930.0,2025-01-24,310.0,43.01,LLEO/I,Communications,B,Starlink,6.0
2025-021,2460705.57,2025-01-30,Falcon 9,FT5,434/B1073.21 F431,Spainsat NG-1,Spainsat NG-1,-,-,KSC,LC39A,-,-,68525.0, ,    -, ,-,6.1,SPX,OS,-,C,Sat GTO O,Wire,-,-,GTO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,6100.0,2025-01-31,471.0,26.82,HEO,Communications,D,Military,9.0
2025-025,2460711.47,2025-02-04,Falcon 9,FT5,436/B1086.4  F434,WV Legion 5/6,Maxar-3,-,-,KSC,LC39A,-,-,706.0, ,    -, ,-,1.4,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,1400.0,2025-02-07,699.0,45.05,LEO/I,Observation,B,Commercial,5.0
2025-038,2460733.51,2025-02-27,Falcon 9,FT5,444/B1083.9  F442,IM-2,IM-2/Odin/LTB/CGEO-1,-,-,KSC,LC39A,-,-,367501.0, ,    -, ,-,2.8,SPX,DS,-,C,Sat EEO O,SpaceX,-,-,BEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,2736.0,2025-02-27,211.0,28.52,CLO,Other,B,Commercial,23.0
2025-049,2460749.46,2025-03-14,Falcon 9,FT5,xxx/B1090.2  F447,Dragon Crew-10,Dragon C210.4,-,-,KSC,LC39A,-,-,242.0, ,    -, ,-,13.055,SPX,OS,-,CX,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10890.0,2025-03-15,210.0,51.65,LLEO/I,Other,B,Government,15.0
2025-066,2460766.57,2025-04-01,Falcon 9,FT5,xxx/B1085.6  F455,Fram-2,Dragon C207.4,-,-,KSC,LC39A,-,-,432.0, ,    -, ,-,16.0,SPX,OS,-,CX,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10890.0,2025-04-01,426.0,90.0,LLEO/P,Other,B,Government,18.0
2025-075,2460778.54,2025-04-13,Falcon 9,FT5,xxx/B1083.10 F460,Starlink-250,Starlink Group 12-17,"V2M  12-17(13 DTC,8 Ku)",-,KSC,LC39A,-,-,292.0, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,18320.0,2025-04-13,284.0,43.01,LLEO/I,Communications,B,Starlink,12.0
2025-080,2460786.84,2025-04-21,Falcon 9,FT5,xxx/B1092.3  F463,Dragon CRS-32,Dragon C209.5,-,-,KSC,LC39A,-,-,370.0, ,    -, ,-,17.87,SPX,OS,-,CX,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10000.0,2025-04-21,216.0,51.65,LLEO/I,Other,B,Government,8.0
2025-089,2460794.61,2025-04-29,Falcon 9,FT5,xxx/B1094.1  F468,Starlink-255,Starlink Group 12-10,"V2MO 12-10(13 DTC,10 Ku)",-,KSC,LC39A,-,-,293.0, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,18230.0,2025-04-29,284.0,43.01,LLEO/I,Communications,B,Starlink,8.0
2025-092,2460799.87,2025-05-04,Falcon 9,FT5,xxx/B1078.20 F470,Starlink-257,Starlink Group 6-84,V2MO 6-84  (29 Ku),-,KSC,LC39A,-,-,278.0, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16675.0,2025-05-05,277.0,43.0,LLEO/I,Communications,B,Starlink,5.0
2025-099,2460808.71,2025-05-13,Falcon 9,FT5,xxx/B1067.28 F475,Starlink-262,Starlink Group 6-83,V2MO 6-83  (28 Ku),-,KSC,LC39A,-,-,278.0, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16100.0,2025-05-13,268.0,43.0,LLEO/I,Communications,B,Starlink,9.0
2025-113,2460824.06,2025-05-28,Falcon 9,FT5,xxx/B1080.19 F482,Starlink-269,Starlink Group 10-32,V2MO 10-32,-,KSC,LC39A,-,-,274.0, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,15525.0,2025-05-29,262.0,53.16,LLEO/I,Communications,B,Starlink,15.0
