,Launch_Date,LC40,LC39A,SLC4E
248,2025-05-16,,,279.0
249,2025-05-21,292.0,,
250,2025-05-23,,,275.0
251,2025-05-24,290.0,,
252,2025-05-27,,,273.0
253,2025-05-28,,274.0,
254,2025-05-31,,,268.0
255,2025-06-03,292.0,,
256,2025-06-04,,,275.0
257,2025-06-08,,,280.0
258,2025-06-10,289.0,,
259,2025-06-13,290.0,,279.0
260,2025-06-17,,,279.0
261,2025-06-18,274.0,,
262,2025-06-23,275.0,,
263,2025-06-25,275.0,,
264,2025-06-28,275.0,,278.0
265,2025-07-02,270.0,,
266,2025-07-08,274.0,,
267,2025-07-16,,,280.0
268,2025-07-19,,,281.0
269,2025-07-26,273.0,,
270,2025-07-27,,,280.0
271,2025-07-30,274.0,,
272,2025-07-31,,,326.0
273,2025-08-04,275.0,,
274,2025-08-14,276.0,,279.0
275,2025-08-18,,,281.0
276,2025-08-22,,,281.0
277,2025-08-27,276.0,,
278,2025-08-28,,277.0,
279,2025-08-30,,,279.0
280,2025-08-31,275.0,,
281,2025-09-03,270.0,,277.0
282,2025-09-05,,273.0,
283,2025-09-06,,,268.0
284,2025-09-13,,,269.0
285,2025-09-18,275.0,,
286,2025-09-19,,,270.0
287,2025-09-21,273.0,,
288,2025-09-25,278.0,,
289,2025-09-26,,,268.0
290,2025-09-29,,,272.0
291,2025-10-03,,,274.0
292,2025-10-07,271.0,,
293,2025-10-08,,,265.0
294,2025-10-16,271.0,,
295,2025-10-19,268.0,,271.0
296,2025-10-22,,,271.0
297,2025-10-25,,,275.0
298,2025-10-26,274.0,,
299,2025-10-28,,,270.0
300,2025-10-29,271.0,,
301,2025-10-31,,,271.0
302,2025-11-06,270.0,,262.0
303,2025-11-09,,269.0,
304,2025-11-11,265.0,,
305,2025-11-15,267.0,268.0,
306,2025-11-19,265.0,,
307,2025-11-21,,272.0,
308,2025-11-22,272.0,,
309,2025-11-23,,,268.0
