Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
2020-077,2459151.39,2020-10-28,Electron,-,15,In Focus,Electron 15 Rideshare,CESAT-IIB/Flock 4ep,-,MAHIA,LC1A,-,-,527.0, ,    -, ,-,0.086,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,86.3,2020-10-30,511.0,97.5,LLEO/S,Observation,B,Commercial
2020-085,2459173.6,2020-11-20,Electron,-,16,Return To Sender,Electron 16 Rideshare,Dragracer/BRO/SpaceBEE,-,MAHIA,LC1A,-,-,509.0, ,    -, ,-,0.063,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,61.815999999999995,2020-11-20,495.0,97.36,LLEO/S,Observation,B,Commercial
2020-098,2459198.92,2020-12-15,Electron,-,17,The Owl's Night Begins,Strix-Alpha,-,-,MAHIA,LC1A,-,-,512.0, ,    -, ,-,0.15,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,150.0,2020-12-16,495.0,97.38,LLEO/S,IMG-R,B,Commercial
2021-004,2459234.81,2021-01-20,Electron,-,18,Another One Leaves..,BIU GMS-T,-,-,MAHIA,LC1A,-,-,1217.0, ,    -, ,-,0.05,RLABN,OS,-,C,Sat LEO OL,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,50.0,2021-01-22,1210.0,90.0,LEO/P,Communications,B,Commercial
2021-023,2459296.44,2021-03-22,Electron,-,19,They Go Up So Fast,Global-5/Pathstone,-,-,MAHIA,LC1A,-,-,558.0, ,    -, ,-,0.153,RLABN,OS,-,C,Sat LEO OL,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,115.0,2021-03-23,538.0,45.0,LLEO/I,Communications,B,Commercial
2021-F02,2459349.97,2021-05-15,Electron,-,20,Running out of Toes,Global-8/Global-9,-,-,MAHIA,LC1A,-,-,, ,    -, ,-,0.11,RLABN,OF,S2I,C,Sat LEO OO,Wire,-,Igniter system problem,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,,,,,,,,Commercial
2021-068,2459424.75,2021-07-29,Electron,-,21,It's a Little Chile UpH.,Monolith,STP-27RM,-,MAHIA,LC1A,-,-,609.0, ,    -, ,-,0.02,RLABN,OS,-,C/G,Sat LEO OL,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,20.0,2021-07-31,598.0,37.02,LEO/I,Tech Demo,D,Military
2021-106,2459536.57,2021-11-18,Electron,-,22,Love at First Insight,Global-14/Global-15,-,-,MAHIA,LC1A,-,-,439.0, ,    -, ,-,0.13,RLABN,OS,-,C,Sat LEO OP 1,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,110.0,2021-11-18,428.0,42.02,LLEO/I,Observation,B,Commercial
2021-120,2459557.5,2021-12-09,Electron,-,23,Data With Destiny,Global-16/Global-17,-,-,MAHIA,LC1A,-,-,440.0, ,    -, ,-,0.13,RLABN,OS,-,C,Sat LEO OP 1,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,110.0,2021-12-09,433.0,42.01,LLEO/I,Observation,B,Commercial
2022-020,2459639.36,2022-02-28,Electron,-,24,The Owl'sNight Continues,Strix Beta,-,-,MAHIA,LC1B,-,-,572.0, ,    -, ,-,0.15,RLABN,OS,-,C,Sat SSO OL,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,150.0,2022-02-28,555.0,97.78,LLEO/S,IMG-R,B,Commercial
