Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
2022-025,2459648.07,2022-03-09,Falcon 9,FT5,145/B1052.4  F145,Starlink-42,Starlink Group 4-10,V1.5 4-10 (48 Ku),-,CC,LC40,-,-,311.0, ,    -, ,-,14.656,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,14256.0,2022-03-13,301.0,53.22,LLEO/I,Communications,B,Starlink
2022-029,2459657.7,2022-03-19,Falcon 9,FT5,146/B1051.12 F146,Starlink-43,Starlink Group 4-12,V1.5 4-12 (53 Ku),-,CC,LC40,-,-,315.0, ,    -, ,-,16.141,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15741.0,2022-03-22,301.0,53.22,LLEO/I,Communications,B,Starlink
2022-041,2459691.24,2022-04-21,Falcon 9,FT5,151/B1060.12 F150,Starlink-44,Starlink Group 4-14,V1.5 4-14 (53 Ku),-,CC,LC40,-,-,324.0, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15741.0,2022-04-25,322.0,53.22,LLEO/I,Communications,B,Starlink
2022-045,2459699.39,2022-04-29,Falcon 9,FT5,152/B1062.6  F152,Starlink-45,Starlink Group 4-16,V1.5 4-16 (53 Ku),-,CC,LC40,-,-,316.0, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15741.0,2022-04-30,303.0,53.21,LLEO/I,Communications,B,Starlink
2022-049,2459705.9,2022-05-06,Falcon 9,FT5,153/B1058.12 F153,Starlink-46,Starlink Group 4-17,V1.5 4-17 (53 Ku),-,KSC,LC39A,-,-,317.0, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",15741.0,2022-05-07,302.0,53.21,LLEO/I,Communications,B,Starlink
2022-051,2459713.42,2022-05-13,Falcon 9,FT5,154/B1063.5  F154,Starlink-47,Starlink Group 4-13,V1.5 4-13 (53 Ku),-,VSFBS,SLC4E,-,-,314.0, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,V,Vandenberg,15741.0,2022-05-14,304.0,53.22,LLEO/I,Communications,B,Starlink
2022-052,2459714.36,2022-05-14,Falcon 9,FT5,155/B1073.1  F155,Starlink-48,Starlink Group 4-15,V1.5 4-15 (53 Ku),-,CC,LC40,-,-,317.0, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15741.0,2022-05-15,303.0,53.22,LLEO/I,Communications,B,Starlink
2022-053,2459717.96,2022-05-18,Falcon 9,FT5,156/B1052.5  F156,Starlink-49,Starlink Group 4-18,V1.5 4-18 (53 Ku),-,KSC,LC39A,-,-,316.0, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",15741.0,2022-05-19,302.0,53.21,LLEO/I,Communications,B,Starlink
2022-062,2459748.17,2022-06-17,Falcon 9,FT5,160/B1060.13 F159,Starlink-50,Starlink Group 4-19,V1.5 4-19 (53 Ku),-,KSC,LC39A,-,-,328.0, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",15741.0,2022-06-20,254.0,53.22,LLEO/I,Communications,B,Starlink
2022-076,2459768.05,2022-07-07,Falcon 9,FT5,163/B1058.13 F163,Starlink-51,Starlink Group 4-21,V1.5 4-21 (53 Ku),-,CC,LC40,-,-,327.0, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15741.0,2022-07-11,269.0,53.22,LLEO/I,Communications,B,Starlink
