Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
1971-066,2441168.92,1971-08-05,Voskhod 11A57,-,7801422-242,Kosmos-432,Zenit-4M,-,-,NIIP-5,LC31,-,-,261.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2200.0,1971-08-07,189.0,51.77,LLEO/I,Observation,D,Eastern Military
1971-069,2441175.73,1971-08-12,Soyuz 11A511L,-,Yu15000-017,Kosmos-434,T2K No. 3,-,-,NIIP-5,LC31,-,-,11777.0, ,    -, ,-,5.56,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,NK9525-32,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,1170.0,1971-09-11,188.0,51.58,MEO,Other,C,Eastern Government
1971-F09,2441182.77,1971-08-19,Voskhod 11A57,-,Kh76001-040,-,Zenit-2M,-,-,NIIP-5,LC31,-,-,,?,    -, ,-,5.98,RVSN,OF,S2P,G,Sat LEO O,AK15,AVMNLJ,Engine fail T+1:57,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,,,,,,,,Eastern Government
1971-077,2441209.04,1971-09-14,Voskhod 11A57,-,7702424-716,Kosmos-438,Zenit-4MK,-,-,NIIP-53,LC41/1,-,-,296.0, ,    -, ,-,6.01,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2310.0,1971-09-16,204.0,65.39,LLEO/I,Observation,D,Eastern Military
1971-078,2441216.0,1971-09-21,Voskhod 11A57,-,7705711-124,Kosmos-439,Zenit-2M,-,-,NIIP-53,LC43/3,-,-,283.0, ,    -, ,-,5.4,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2200.0,1971-09-23,206.0,65.44,LLEO/I,Observation,D,Eastern Military
1971-081,2441222.82,1971-09-28,Voskhod 11A57,-,7705712-224 ?,Kosmos-441,Zenit-4M,-,-,NIIP-5,LC31,-,-,260.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2200.0,1971-09-30,181.0,65.02,LLEO/I,Observation,D,Eastern Military
1971-084,2441223.98,1971-09-29,Voskhod 11A57,-,7705712-222,Kosmos-442,Zenit-4M,-,-,NIIP-53,LC43/3,-,-,302.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2200.0,1971-10-01,199.0,72.9,LLEO/I,Observation,D,Eastern Military
1971-085,2441232.02,1971-10-07,Voskhod 11A57,-,7801421-135,Kosmos-443,Zenit-2M,-,-,NIIP-53,LC43/3,-,-,300.0, ,    -, ,-,6.03,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2830.0,1971-10-09,201.0,65.41,LLEO/I,Observation,D,Eastern Military
1971-088,2441238.88,1971-10-14,Voskhod 11A57,-,7705712-223,Kosmos-452,Zenit-4M,-,-,NIIP-5,LC31,-,-,281.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2200.0,1971-10-17,175.0,64.97,LLEO/I,Observation,D,Eastern Military
1971-094,2441258.1,1971-11-02,Voskhod 11A57,-,7705712-217,Kosmos-454,Zenit-4M,-,-,NIIP-53,LC41/1,-,-,352.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2200.0,1971-11-04,199.0,65.44,LLEO/I,Observation,D,Eastern Military
1971-098,2441275.0,1971-11-19,Voskhod 11A57,-,7705712-214,Kosmos-456,Zenit-4M,-,-,NIIP-53,LC43/3,-,-,302.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2200.0,1971-11-21,175.0,72.86,LLEO/I,Observation,D,Eastern Military
1971-F12,2441289.04,1971-12-03,Voskhod 11A57,-,7801421-137,-,Zenit-2M,-,-,NIIP-53,LC43/4,-,-,, ,    -, ,-,6.0,RVSN,OF,PE,G,Sat LEO O,AK15,AVMNLJ,FOD in Blok A,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,,,,,,,,Eastern Government
1971-107,2441291.91,1971-12-06,Voskhod 11A57,-,Kh76002-053,Kosmos-463,Zenit-4M,-,-,NIIP-5,LC31,-,-,263.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2200.0,1971-12-08,182.0,64.96,LLEO/I,Observation,D,Eastern Military
1971-108,2441295.96,1971-12-10,Voskhod 11A57,-,7801422-238,Kosmos-464,Zenit-4M,-,-,NIIP-53,LC43/3,-,-,377.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2200.0,1971-12-12,203.0,72.86,LLEO/I,Observation,D,Eastern Military
1971-112,2441301.9,1971-12-16,Voskhod 11A57,-,7801422-236,Kosmos-466,Zenit-4M,-,-,NIIP-5,LC31,-,-,277.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2200.0,1971-12-19,178.0,64.99,LLEO/I,Observation,D,Eastern Military
1971-118,2441313.09,1971-12-27,Soyuz 11A511M,-,Yu15000-001,Kosmos-470,Zenit-4MT,-,-,NIIP-53,LC41/1,-,-,258.0, ,    -, ,-,6.68,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,NK0709-36,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2200.0,1971-12-29,192.0,65.41,LLEO/I,Observation,D,Eastern Military
1971-120,2441314.95,1971-12-29,Vostok 8A92M,-,7705711-307,Meteor,Meteor-MV No. 18,-,-,NIIP-53,LC41/1,-,-,928.0, ,    -, ,-,1.28,RVSN,OS,-,G,Sat LEO O,PL-WWW,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,1280.0,1972-01-31,840.0,81.25,LEO/I,Observation,D,Eastern Military
1972-001,2441328.92,1972-01-12,Voskhod 11A57,-,7702423-247,Kosmos-471,Zenit-4M,-,-,NIIP-5,LC31,-,-,305.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2200.0,1972-01-14,175.0,65.05,LLEO/I,Observation,D,Eastern Military
