Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type,Launch_Year
2020-062,2459096.03,2020-09-03,Falcon 9,FT5,094/B1060.2  F094,Starlink-12,Starlink V1.0-L11,L11 (60),-,KSC,LC39A,-,-,290.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",15600.0,2020-09-06,201.0,53.0,LLEO/I,Communications,B,Starlink,2020
2020-063,2459096.81,2020-09-04,Chang Zheng 2F,T,T3,CSSHQ,CSSHQ,-,-,JQ,LC43/91,-,-,346.0, ,    -, ,-,8.504,CALT,OS,-,G,Sat LSS O 4,TLE,xinhuanet.com,-,LEO,DF5,Long March 2,CN,China,JQ,"Jiuquan Space Center, Nei Monggol Zizhiqu, China",8000.0,2020-09-05,330.0,50.21,LLEO/I,Tech Demo,D,Eastern Military,2020
2020-064,2459099.75,2020-09-07,Chang Zheng 4B,-,Y46,Gao Fen 11-02,Gao Fen 11-02,-,-,TYSC,LC9,-,-,694.0, ,    -, ,-,3.0,SAST,OS,-,G,Sat SSO L,nasaspaceflight.com,xinhuanet.com,-,SSO,DF5,Long March 4,CN,China,TYSC,Taiyuan weixing fashe zhongxin,3000.0,2020-09-07,247.0,97.33,LLEO/S,Observation,D,Eastern Military,2020
2020-F07,2459104.64,2020-09-12,Astra Rocket 3.1,-,LV0004,Rocket 3.1,-,-,-,PSCA,LP3B,-,-,,?,    -, ,-,0.005,ASTRV,OF,S1G,CX/G,Sat SSO O,SN181206,-,Guidance oscillation,SSO,Astra,Astra Rocket 3,US,United States,PSCA,"Pacific Spaceport Complex Alaska, Kodiak Island, Alaska",,,,,,,,Government,2020
2020-F08,2459104.71,2020-09-12,Kuaizhou-1A,-,Y3,Jilin-1 Gaofen 02C,-,-,-,JQ,LC43/95,-,-,,?,    -, ,-,0.23,EXPACE,OF,S4?,CO,Sat SSO L,nasaspaceflight.com,-,Details unknown,SSO,DF-21,Kuaizhou,CN,China,JQ,"Jiuquan Space Center, Nei Monggol Zizhiqu, China",,,,,,,,Chinese Commercial,2020
2020-065,2459107.56,2020-09-15,Chang Zheng 11,H,Y2,Jilin-1 03B/03C,Jilin-1,-,DEBO3,HHAI,LP2,-,-,547.0, ,    -, ,-,0.378,CALT,OS,-,G,Sat SSO L,nasaspaceflight.com,-,-,SSO,DF-31,Long March 11,CN,China,Huang Hai,,378.0,2020-09-17,531.0,97.54,LLEO/S,Observation,B,Eastern Government,2020
2020-066,2459113.74,2020-09-21,Chang Zheng 4B,-,Y41,Hai Yang 2-03,HY-2C,-,-,JQ,LC43/94,-,-,949.0, ,    -, ,-,1.5,SAST,OS,-,G,Sat LEO L 4,nasaspaceflight.com,xinhuanet.com,-,LEO,DF5,Long March 4,CN,China,JQ,"Jiuquan Space Center, Nei Monggol Zizhiqu, China",1500.0,2020-09-22,930.0,66.0,LEO/I,EOSCI,C,Eastern Government,2020
2020-067,2459119.64,2020-09-27,Chang Zheng 4B,-,Y42,Huanjing Jianzai 02A/B,HJ-2A/B,-,-,TYSC,LC9,-,-,653.0, ,    -, ,-,1.02,SAST,OS,-,G,Sat SSO L 4,nasaspaceflight.com,xinhuanet.com,-,SSO,DF5,Long March 4,CN,China,TYSC,Taiyuan weixing fashe zhongxin,1020.0,2020-09-29,602.0,97.98,LEO/S,Observation,C,Eastern Government,2020
2020-068,2459120.97,2020-09-28,Soyuz-2-1B,Fregat,T 15000-025/112-501,Gonets-M Blok 16,Gonets-M No. 27/28/29,-,-,GIK-1,LC43/4,-,-,1506.0, ,    -, ,-,0.932,VVKO,OS,-,G/G+C,Sat SSO SD,spaceflightnow.com,-,-,SSO,R-7,Soyuz,RU,Russia,GIK1,,938.4,2020-09-30,1486.0,82.5,LEO/I,Communications,B,Eastern Government,2020
2020-069,2459125.55,2020-10-03,Antares 230+,-,2TRS2S1.13? (13),S.S. Kalpana Chawla,Cygnus NG-14,-,-,MARS,Pad 0A,-,-,418.0, ,    -, ,-,11.804,NGIS,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares,US,United States,MARS,"Mid-Atlantic Regional Spaceport, Wallops Island, Virginia",2541.2,2020-10-05,415.0,51.65,LLEO/I,Other,B,Government,2020
