JCAT,Satcat,Launch_Tag,Piece,Type,Name,PLName,Launch_Date,Parent,Separation_Date,Primary,Decay_Date,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,Orbit_Canonical_Date,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames,Simple_Orbit,Country,Payload_Name,Payload_Program,Payload_Class,Payload_Category,Payload_Discipline,Payload_Result,Payload_Comment,Simple_Payload_Category,LV_Type,Agency,Launch_Site,Launch_Pad,Launch_Vehicle_Family,Launch_Vehicle_Simplified,Launch_Site_Parent,Launch_Site_Name,Launch_State,Launch_Country,Launch_Year
S33453,33453,2008-063,2008-063A,P           ,Ciel 2,Ciel 2,2008-12-10,S33455,2008-12-10,Earth,,O,-,CIEL,CA,THALES,Spacebus 4000C4,S400,5625.0,   3500 ?,5625.0,   7.1  ,3.0,   35.0 ?,0.0,2009 Jun 30,35774.0,   35798 ,0.01,GEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Ciel-2,Ciel,B,COM,-,S,-,Communications,Proton-M/Briz-M,-,GIK-5,LC200/39,Proton,Proton,Baykonur,Baykonur,RU,Russia,2008
S34111,34111,2009-009,2009-009A,P           ,Telstar 11N,Telstar 11N,2009-02-26,S34112,2009-02-27,Earth,,O,-,TSKY,CA,LOR,FS-1300,R-4D-11-164,4010.0,   2000 ?,4010.0,   5.6 ?,0.0,   31.0 ?,0.0,2009 Jun 29,35777.0,   35798 ,0.01,GEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,[Telstar 11N],Telstar,B,COM,-,S,-,Communications,Zenit-3SLB,-,GIK-5,LC45/1,Zenit,Zenit,Baykonur,Baykonur,RU,Russia,2009
S35873,35873,2009-050,2009-050A,P           ,Nimiq 5,Nimiq 5,2009-09-17,S35874,2009-09-18,Earth,,O,-,TCANL,CA,LOR,SSL-1300,R-4D,4745.0,   2000 ?,4745.0,   5.6 ?,0.0,   26.0  ,0.0,2009 Nov 27,35780.0,   35793 ,0.02,GEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Nimiq-5,Nimiq,B,COM,-,S,-,Communications,Proton-M/Briz-M,-,GIK-5,LC200/39,Proton,Proton,Baykonur,Baykonur,RU,Russia,2009
S37792,37792,2011-044,2011-044E,P           ,AprizeSat-5,AprizeSat-5,2011-08-17,S37796,2011-08-17,Earth,2011-11-01,N,-,SPQ,CA,SPQ,Aprize,-,14.0,     14  ,14.0,   0.2  ,0.2,    0.2  ,0.0,2011 Aug 19,610.0,     696 ,98.27,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Aprizesat 5,APRIZE,B,COM,-,S,-,Communications,Dnepr,-,YAS,Sh370/13,R-36,Dnepr,Yasniy,"Yasniy site, Dombarovskiy Air Base, Orensburgskaya Oblast', Rossiya",RU,Russia,2011
S37793,37793,2011-044,2011-044F,P           ,AprizeSat-6,AprizeSat-6,2011-08-17,S37796,2011-08-17,Earth,2011-11-01,N,-,SPQ,CA,SPQ,Aprize,-,14.0,     14  ,14.0,   0.2  ,0.2,    0.2  ,0.0,2011 Aug 19,627.0,     696 ,98.26,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,ADS03,APRIZE,B,COM,-,S,-,Communications,Dnepr,-,YAS,Sh370/13,R-36,Dnepr,Yasniy,"Yasniy site, Dombarovskiy Air Base, Orensburgskaya Oblast', Rossiya",RU,Russia,2011
S38342,38342,2012-026,2012-026A,P           ,Nimiq 6,Nimiq 6,2012-05-17,S38343,2012-05-18,Earth,,O,-,TCANL,CA,LOR,SSL-1300,R-4D,4745.0,   2000 ?,4745.0,   5.6 ?,0.0,   26.0  ,0.0,2012 May 25,35738.0,   35748 ,0.03,GEO/D,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Nimiq-6,Nimiq,B,COM,-,S,-,Communications,Proton-M/Briz-M,-,GIK-5,LC81/24,Proton,Proton,Baykonur,Baykonur,RU,Russia,2012
S38709,38709,2012-039,2012-039C,P           ,exactView-1,ADS-1B,2012-07-22,S38712,2012-07-22,Earth,2020-03-31,N,-,EXEA,CA,SSTLA,SSTL-100,-,95.0,     95  ,95.0,   0.6  ,0.6,    0.9 ?,0.0,2012 Jul 29,805.0,     821 ,98.95,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,ADS01,ExactView,B,COM,-,S,-,Communications,Soyuz-FG,-,GIK-5,LC31,R-7,Soyuz,Baykonur,Baykonur,RU,Russia,2012
S39088,39088,2013-009,2013-009C,P           ,Sapphire,Sapphire,2013-02-25,A07992,2013-02-25,Earth,,O,-,DRDC/DND,CA,SSTLA/MDABC,SSTL-150,-,148.0,    148  ,148.0,   0.5 ?,0.0,    0.5 ?,0.0,2013 Feb 27,771.0,     786 ,98.63,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Sapphire,CSA,D,EW,-,S,-,Observation,PSLV,-,SHAR,FLP,PSLV,PSLV,Sriharikota,"Satish Dhawan Space Ctr, Sriharikota, Andhra Pradesh, India",IN,India,2013
S39089,39089,2013-009,2013-009D,P           ,NEOSSat,NEOSSat,2013-02-25,A07992,2013-02-25,Earth,,O,-,CSA,CA,MSCI,MOST?,-,74.0,     74  ,74.0,   1.8  ,0.4,    1.8  ,0.0,2013 Feb 26,771.0,     786 ,98.63,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,NEOSSat,CSA,C,AST/EW,OA,S,Asteroid survey,AST/EW,PSLV,-,SHAR,FLP,PSLV,PSLV,Sriharikota,"Satish Dhawan Space Ctr, Sriharikota, Andhra Pradesh, India",IN,India,2013
S39127,39127,2013-014,2013-014A,P           ,Anik G1,Anik G1,2013-04-15,S39128,2013-04-16,Earth,,O,-,TCANL,CA,SSL,SSL-1300,R-4D-15?,4905.0,   2500 ?,4905.0,   8.0 ?,0.0,   30.0 ?,0.0,2013 May 16,35777.0,   35797 ,0.01,GEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Anik G1,Anik G,B,COM,-,S,-,Communications,Proton-M/Briz-M,-,GIK-5,LC200/39,Proton,Proton,Baykonur,Baykonur,RU,Russia,2013
