Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,V2_Payload_Category,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
1984-114,2446014.55,1984-11-10,Ariane 3,-,V11 L13,Spacenet 2/Marecs 2,Spacenet F2,-,-,CSG,ELA1,-,-,35792.0, ,    -, ,-,2.395,AE,OS,-,CO/G+C,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 3,GUF,French Guiana,Kourou,,1215.0,1984-12-13,35778.0,0.18,GEO/S,Communications,B,Commercial
1985-015,2446105.47,1985-02-08,Ariane 3,-,V12 L14,Arab 1A/Brasilsat 1,Arabsat 1A,-,-,CSG,ELA1,-,-,35815.0, ,    -, ,-,2.49,AE,OS,-,CO/OG,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 3,GUF,French Guiana,Kourou,,1837.0,1985-04-26,35756.0,0.5,GEO/S,Communications,B,Government
1985-035,2446193.55,1985-05-08,Ariane 3,-,V13 L15,Gstar 1/Telecom 1B,Gstar 1A,-,-,CSG,ELA1,-,-,35789.0, ,    -, ,-,2.565,AE,OS,-,CO/G+C,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 3,GUF,French Guiana,Kourou,,1351.0,1985-06-07,35782.0,0.3,GEO/S,Communications,B,Commercial
1985-056,2446248.97,1985-07-02,Ariane 1,-,V14 L10,Giotto,Giotto,-,-,CSG,ELA1,-,-,35807.0, ,    -, ,-,0.958,AE,DS,-,CO/G,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 1,GUF,French Guiana,Kourou,,545.0,1985-07-02,202.0,6.99,GTO,Other,C,Commercial
1985-F03,2446321.48,1985-09-12,Ariane 3,-,V15 L16,ECS 3/Spacenet 3,ECS 3,-,-,CSG,ELA1,-,-,220.0,?,    -, ,-,2.217,AE,OF,S3I,CO,Sat GTO O 1,CNES32,-,S3 no full thrust,GTO,Scientific,Ariane,Ariane 3,GUF,French Guiana,Kourou,,,,,,,,,Commercial
1986-019,2446483.57,1986-02-22,Ariane 1,-,V16 L11,Spot/Viking,SPOT,-,-,CSG,ELA1,-,-,826.0, ,    -, ,-,2.448,AE,OS,-,CO/G,Sat SSO O 1,CNES32,-,-,SSO,Scientific,Ariane,Ariane 1,GUF,French Guiana,Kourou,,2160.0,1986-03-24,824.0,98.73,LEO/S,Observation,C,Commercial
1986-026,2446518.48,1986-03-28,Ariane 3,-,V17 L17,Gstar 2/Brasilsat 2,Gstar 2,-,-,CSG,ELA2,-,-,35791.0, ,    -, ,-,2.58,AE,OS,-,CO/OG+C,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 3,GUF,French Guiana,Kourou,,1344.0,1986-05-31,35780.0,0.02,GEO/S,Communications,B,Government
1986-F05,2446581.54,1986-05-31,Ariane 2,-,V18 L18,Intelsat 514,INTELSAT VA F14,-,-,CSG,ELA1,-,-,250.0,?,    -, ,-,2.045,AE,OF,S3I,CO/OG,Sat GTO O,CNES32,-,S3 ft ignite,GTO,Scientific,Ariane,Ariane 2,GUF,French Guiana,Kourou,,,,,,,,,Government
1987-078,2447054.53,1987-09-16,Ariane 3,-,V19 L19,Aussat K3/ECS 4,Aussat K3,-,-,CSG,ELA1,-,-,35795.0, ,    -, ,-,2.564,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 3,GUF,French Guiana,Kourou,,1308.0,1987-10-17,35779.0,0.02,GEO/S,Communications,B,Commercial
1987-095,2447120.6,1987-11-21,Ariane 2,-,V20 L20,TV-SAT,TV-SAT,-,-,CSG,ELA2,-,-,35835.0, ,    -, ,-,2.08,AE,OS,-,CO/G,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 2,GUF,French Guiana,Kourou,,2080.0,1987-12-21,35214.0,0.09,GEO/D,Communications,C,Commercial
