Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,V2_Payload_Category,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
1999-064,2451516.18,1999-12-03,Ariane 40,40-3,V124 L492,Helios 1B/Clementine,Helios 1B,-,-,CSG,ELA2,-,-,675.0, ,    -, ,-,2.594,AE,OS,-,CO/G,Sat SSO O,Wire,-,-,SSO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2594.0,1999-12-10,669.0,98.08,LEO/S,Observation,D,Military
1999-066,2451523.11,1999-12-10,Ariane 5G,-,V119 (504a),XMM,XMM,-,-,CSG,ELA3,-,-,114028.0, ,    -, ,-,3.764,AE,OS,-,CG,Sat DSO SO,Wire,-,-,BEO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,3764.0,2000-01-09,7079.0,38.49,VHEO,Observation,C,Commercial
1999-071,2451534.53,1999-12-22,Ariane 44L,44L-3,V125 L493,Galaxy 11,Galaxy 11,-,-,CSG,ELA2,-,-,38050.0, ,    -, ,-,4.484,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4484.0,2000-01-21,33612.0,0.12,GEO/NS,Communications,B,Commercial
2000-002,2451568.54,2000-01-25,Ariane 42L,42L-3,V126 L494,Galaxy 10R,Galaxy XR,-,-,CSG,ELA2,-,-,35778.0, ,    -, ,-,3.651,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3651.0,2000-02-24,35673.0,0.05,GEO/D,Communications,B,Commercial
2000-012,2451592.54,2000-02-18,Ariane 44LP,44LP-3,V127 L495,Superbird 4,Superbird 4,-,-,CSG,ELA2,-,-,35816.0, ,    -, ,-,4.057,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4057.0,2000-03-19,35757.0,0.03,GEO/S,Communications,B,Commercial
2000-016,2451625.48,2000-03-21,Ariane 5G,-,V128 (505),Asiastar/Insat 3B,Asiastar,-,-,CSG,ELA3,-,-,35794.0, ,    -, ,-,5.287,AE,OS,-,CO,Sat GTO SO 1,AE-TV,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,4847.0,2000-04-20,35781.0,0.01,GEO/S,Communications,B,Commercial
2000-020,2451653.52,2000-04-19,Ariane 42L,42L-3,V129 L496,Galaxy 4R,Galaxy IVR,-,-,CSG,ELA2,-,-,35888.0, ,    -, ,-,3.668,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3668.0,2000-05-19,35780.0,0.01,GEO/D,Communications,B,Commercial
2000-046,2451774.47,2000-08-17,Ariane 44LP,44LP-3,V131 L4097,Brasil B4/Nilest 102,Brasilsat B4,-,-,CSG,ELA2,-,-,35807.0, ,    -, ,-,3.95,AE,OS,-,CO,Sat GTO O 1,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3550.0,2001-02-21,35765.0,0.05,GEO/S,Communications,C,Commercial
2000-052,2451794.44,2000-09-06,Ariane 44P,44P-3,V132 L4098,Eutelsat W1,Eutelsat W1,-,-,CSG,ELA2,-,-,35801.0, ,    -, ,-,3.25,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3250.0,2001-04-21,35770.0,0.05,GEO/S,Communications,C,Commercial
2000-054,2451802.45,2000-09-14,Ariane 5G,-,V130 (506),Astra 2B/GE 7,Astra 2B,-,-,CSG,ELA3,-,-,35822.0, ,    -, ,-,5.69,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,5250.0,2001-05-21,35748.0,0.08,GEO/S,Communications,B,Commercial
2000-060,2451824.46,2000-10-06,Ariane 42L,42L-3,V133 L4099,N-SAT-110,Superbird 5,-,-,CSG,ELA2,-,-,35789.0, ,    -, ,-,3.531,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3531.0,2001-02-28,35784.0,0.06,GEO/S,Communications,B,Commercial
2000-068,2451846.75,2000-10-29,Ariane 44LP,44LP-3,V134 L4100,Europe*Star F1,EuropeStar FM1,-,-,CSG,ELA2,-,-,35801.0, ,    -, ,-,4.167,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4167.0,2001-04-07,35771.0,0.02,GEO/S,Communications,B,Commercial
2000-072,2451864.55,2000-11-16,Ariane 5G,-,V135 (507),PAS 1R/AMSAT P3D,PAS 1R,-,-,CSG,ELA3,-,-,35787.0, ,    -, ,-,5.613,AE,OS,-,CO,Sat GTO SO 1,AE-TV,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,5533.0,2001-04-28,35786.0,0.04,GEO/S,Communications,B,Commercial
2000-076,2451870.5,2000-11-21,Ariane 44L,44L-3,V136 L4102,Anik F1,Anik F1,-,-,CSG,ELA2,-,-,35789.0, ,    -, ,-,4.852,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4852.0,2001-03-18,35784.0,0.02,GEO/S,Communications,B,Commercial
2000-081,2451898.52,2000-12-20,Ariane 5G,-,V138 (508),Astra 2D/GE 8/LDREX,Astra 2D,-,-,CSG,ELA3,-,-,35895.0, ,    -, ,-,4.009,AE,OS,-,CO,Sat GTO SO 1,AE-TV,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,2939.0,2000-12-28,35886.0,0.29,GEO/D,Communications,B,Commercial
2001-002,2451920.42,2001-01-10,Ariane 44P,44P-3,V137 L4101,Turksat 2A,Eurasiasat 1,-,-,CSG,ELA2,-,-,35932.0, ,    -, ,-,3.535,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3535.0,2001-09-10,35638.0,0.02,GEO/S,Communications,B,Commercial
2001-005,2451948.46,2001-02-07,Ariane 44L,44L-3,V139 L4103,Sicral/Skynet 4F,SICRAL 1A,-,-,CSG,ELA2,-,-,35766.0, ,    -, ,-,5.115,AE,OS,-,CO/G,Sat GTO O 1,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4085.0,2001-02-20,35445.0,0.07,GEO/D,Communications,D,Military
2001-011,2451977.45,2001-03-08,Ariane 5G,-,V140 (509),Eurobird/BSAT-2a,Eurobird,-,-,CSG,ELA3,-,-,35814.0, ,    -, ,-,4.807,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,3700.0,2001-10-25,35757.0,0.03,GEO/S,Communications,B,Commercial
2001-024,2452069.78,2001-06-09,Ariane 44L,44L-3,V141 L4104,Intelsat 901,IS-901,-,-,CSG,ELA2,-,-,35799.0, ,    -, ,-,4.723,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4723.0,2002-03-01,35773.0,0.02,GEO/S,Communications,B,Commercial
2001-029,2452103.42,2001-07-12,Ariane 5G,-,V142 (510),Artemis/BSAT-2b,Artemis,-,-,CSG,ELA3,-,-,35790.0, ,    -, ,-,4.843,AE,OF50,S2U,CO,Sat GTO SO 1,Wire,-,"Thrust low, early cutoff",GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,3736.0,2003-07-09,35780.0,1.93,GEO/S,COM/NAV,C,Commercial
2001-039,2452151.78,2001-08-30,Ariane 44L,44L-3,V143 L4105,Intelsat 902,INTELSAT 902,-,-,CSG,ELA2,-,-,35796.0, ,    -, ,-,4.723,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4723.0,2002-10-04,35776.0,0.01,GEO/S,Communications,B,Commercial
2001-042,2452178.47,2001-09-25,Ariane 44P,44P-3,V144 L4106,Atlantic Bird 2,Atlantic Bird 2,-,-,CSG,ELA2,-,-,35805.0, ,    -, ,-,3.15,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3150.0,2002-12-06,35767.0,0.03,GEO/S,Communications,B,Commercial
2001-052,2452240.52,2001-11-27,Ariane 44LP,44LP-3,V146 L4107,DirecTV-4S,DirecTV-4S,-,-,CSG,ELA2,-,-,35791.0, ,    -, ,-,4.3,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4300.0,2003-01-08,35781.0,0.03,GEO/S,Communications,B,Commercial
2002-002,2452298.49,2002-01-23,Ariane 42L,42L-3,V147 L4108,Insat 3C,Insat 3C,-,-,CSG,ELA2,-,-,35795.0, ,    -, ,-,2.75,AE,OS,-,CO/OG,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2750.0,2003-02-15,35777.0,0.1,GEO/S,Communications,C,Government
2002-007,2452328.79,2002-02-23,Ariane 44L,44L-3,V148 L4109,Intelsat 904,INTELSAT 904,-,-,CSG,ELA2,-,-,35813.0, ,    -, ,-,4.68,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4680.0,2003-02-07,35758.0,0.01,GEO/S,Communications,B,Commercial
2002-009,2452334.55,2002-03-01,Ariane 5G,-,V145 (511),Envisat,Envisat PPF,-,-,CSG,ELA3,-,-,790.0, ,    -, ,-,8.211,AE,OS,-,CO/G,Sat SSO SO,Wire,-,-,SSO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,8211.0,2002-03-08,784.0,98.56,LEO/S,IMG-R,C,Commercial
2002-015,2452362.56,2002-03-29,Ariane 44L,44L-3,V149 L4110,Astra 3A/JCSAT-8,JCSAT-8,-,-,CSG,ELA2,-,-,35798.0, ,    -, ,-,4.495,AE,OS,-,CO,Sat GTO O 1,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3465.0,2003-06-13,35776.0,0.05,GEO/S,Communications,B,Commercial
2002-019,2452381.46,2002-04-16,Ariane 44L,44L-3,V150 L4111,NSS 7,NSS 7,-,-,CSG,ELA2,-,-,35795.0, ,    -, ,-,4.7,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4700.0,2003-04-11,35777.0,0.0,GEO/S,Communications,B,Commercial
2002-021,2452398.56,2002-05-04,Ariane 42P,42P-3,V151 L4112,SPOT 5,SPOT 5,-,-,CSG,ELA2,-,-,818.0, ,    -, ,-,3.006,AE,OS,-,CO/G,Sat SSO O,Wire,-,-,SSO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3000.0,2002-05-15,816.0,98.75,LEO/S,Observation,C,Commercial
2002-027,2452430.78,2002-06-05,Ariane 44L,44L-3,V152 L4113,Intelsat 905,INTELSAT 905,-,-,CSG,ELA2,-,-,35794.0, ,    -, ,-,4.723,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4723.0,2003-06-28,35778.0,0.03,GEO/S,Communications,B,Commercial
2002-035,2452461.47,2002-07-05,Ariane 5G,-,V153 (512),Stellat/NStar c,Stellat 5,-,-,CSG,ELA3,-,-,35801.0, ,    -, ,-,6.135,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,5695.0,2003-05-30,35772.0,0.01,GEO/S,Communications,B,Commercial
2002-040,2452515.45,2002-08-28,Ariane 5G,-,V155 (513),Atl. Bird 1/MSG 1,Atlantic Bird 1,-,-,CSG,ELA3,-,-,35795.0, ,    -, ,-,5.182,AE,OS,-,CO/G+C,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,4710.0,2003-08-31,35776.0,0.06,GEO/S,Communications,B,Commercial
2002-041,2452523.78,2002-09-06,Ariane 44L,44L-3,V154 L4114,Intelsat 906,INTELSAT 906,-,-,CSG,ELA2,-,-,35797.0, ,    -, ,-,4.723,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4723.0,2003-10-24,35776.0,0.01,GEO/S,Communications,B,Commercial
2002-F03,2452620.43,2002-12-11,Ariane 5ECA,-,V157 (517),Hot Bird 7/Stentor,Hot Bird 7,-,-,CSG,ELA3,-,-,150.0,?,    -, ,-,5.51,AE,OF,S1P,CO,Sat GTO SO 1,Wire,-,"ME nozzle failed, lost control",GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,,,,,,,,Commercial
2002-057,2452626.46,2002-12-17,Ariane 44L,44L-3,V156 L4115,NSS 6,NSS 6,-,-,CSG,ELA2,-,-,35736.0, ,    -, ,-,4.575,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4575.0,2002-12-26,35668.0,0.06,GEO/D,Communications,B,Commercial
2003-007,2452685.79,2003-02-15,Ariane 44L,44L-3,V159 L4116,Intelsat 907,INTELSAT 907,-,-,CSG,ELA2,-,-,35796.0, ,    -, ,-,4.685,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4685.0,2003-02-25,35777.0,0.1,GEO/S,Communications,B,Commercial
2003-013,2452739.45,2003-04-09,Ariane 5G,-,V160 (514),Galaxy 12/Insat 3A,Insat 3A,-,-,CSG,ELA3,-,-,35796.0, ,    -, ,-,5.15,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,4710.0,2004-05-28,35776.0,0.03,GEO/S,Communications,C,Commercial
2003-028,2452802.44,2003-06-11,Ariane 5G,-,V161 (515),Optus C1-D/BSAT-2c,BSAT-2c,-,-,CSG,ELA3,-,-,35805.0, ,    -, ,-,6.44,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,5333.0,2003-06-19,35381.0,0.13,GEO/D,Communications,B,Commercial
2003-043,2452910.47,2003-09-27,Ariane 5G,-,V162 (516),Insat 3E/e-Bird,e-Bird,-,-,CSG,ELA3,-,-,35788.0, ,    -, ,-,5.472,AE,DS,-,CO,Sat GTO SO 2,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,4042.0,2004-06-19,35782.0,0.01,GEO/S,Communications,B,Commercial
2004-006,2453066.8,2004-03-02,Ariane 5G+,-,V158 (518),Rosetta,Rosetta,-,-,CSG,ELA3,-,-,-76660.0, ,    -, ,-,3.065,AE,DS,-,CO/G,Sat EEO SO,Wire,-,-,BEO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,2965.0,2004-03-02,392.0,5.7,EEO,Other,C,Commercial
2004-027,2453204.53,2004-07-18,Ariane 5G+,-,V163 (519f),Anik F2,Anik F2,-,-,CSG,ELA3,-,-,35786.0, ,    -, ,-,5.965,AE,OS,-,CO,Sat GTO SO,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,5965.0,2004-09-16,35785.0,0.05,GEO/S,Communications,B,Commercial
2004-049,2453358.18,2004-12-18,Ariane 5G+,-,V165 (520g),Helios-2A/ASAP,Helios 2A,-,-,CSG,ELA3,-,-,683.0, ,    -, ,-,4.807,AE,OS,-,CO/G,Sat SSO SO,Wire,-,-,SSO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,4807.0,2004-12-21,666.0,98.08,LEO/S,Observation,D,Military
2005-005,2453414.38,2005-02-12,Ariane 5ECA,-,V164 (521),XTAR-EUR/Maqsat-B2,XTAR-EUR,-,-,CSG,ELA3,-,-,35802.0, ,    -, ,-,7.692,ESA,OS,-,G/C,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,3756.0,2005-04-15,35770.0,0.05,GEO/S,Communications,D,Military
2005-028,2453593.85,2005-08-11,Ariane 5GS,-,V166 (523g),Thaicom 4,iPSTAR 1,-,-,CSG,ELA3,-,-,35797.0, ,    -, ,-,6.48,AE,OS,-,CO,Sat GTO SO,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,6480.0,2005-10-11,35777.0,0.04,GEO/S,Communications,B,Commercial
2005-041,2453657.44,2005-10-13,Ariane 5GS,-,V168 (524g),Syracuse 3A/Gal. 15,Galaxy 15,-,-,CSG,ELA3,-,-,35795.0, ,    -, ,-,6.198,AE,OS,-,CO/G+C,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,5758.0,2005-12-13,35778.0,0.06,GEO/S,Communications,B,Commercial
2005-046,2453691.49,2005-11-16,Ariane 5ECA,-,V167 (522a),Spaceway 2/Telkom 2,Telkom 2,-,-,CSG,ELA3,-,-,35795.0, ,    -, ,-,8.531,ESA,OS,-,G/C,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,8091.0,2006-01-18,35779.0,0.05,GEO/S,Communications,B,Government
2005-049,2453726.44,2005-12-21,Ariane 5GS,-,V169 (525),Insat 4A/MSG 2,Insat 4A,-,-,CSG,ELA3,-,-,35811.0, ,    -, ,-,5.575,AE,OS,-,CO/G+OG,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,5115.0,2006-02-20,35764.0,0.04,GEO/S,Communications,C,Government
2006-007,2453806.44,2006-03-11,Ariane 5ECA,-,V170 (527),Hot Bird 7A/Spainsat,Spainsat,-,-,CSG,ELA3,-,-,35809.0, ,    -, ,-,8.223,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,7783.0,2006-05-11,35762.0,0.01,GEO/S,Communications,D,Military
2006-020,2453883.38,2006-05-27,Ariane 5ECA,-,V171 (529),Satmex 6/Thaicom 5,Satmex 6,-,-,CSG,ELA3,-,-,35800.0, ,    -, ,-,8.662,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,8222.0,2006-07-27,35775.0,0.01,GEO/S,Communications,B,Commercial
2006-033,2453959.43,2006-08-11,Ariane 5ECA,-,V172 (531),JCSAT-10/Syracuse 3B,JCSAT 10,-,-,CSG,ELA3,-,-,35793.0, ,    -, ,-,8.238,AE,OS,-,CO/G+C,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,7798.0,2006-10-12,35783.0,0.01,GEO/S,Communications,B,Commercial
2006-043,2454022.37,2006-10-13,Ariane 5ECA,-,V173 (533),DirecTV-9S/Optus D1,DirecTV 9S,-,-,CSG,ELA3,-,-,35738.0, ,    -, ,-,8.393,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,7953.0,2006-12-13,35723.0,0.02,GEO/D,Communications,B,Commercial
2006-054,2454078.42,2006-12-08,Ariane 5ECA,-,V174 (534),WildBlue 1/AMC 18,WildBlue 1,-,-,CSG,ELA3,-,-,35792.0, ,    -, ,-,7.256,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,6816.0,2007-02-08,35781.0,0.03,GEO/S,Communications,B,Commercial
2007-007,2454171.42,2007-03-11,Ariane 5ECA,-,V175 (535),Skynet 5A/Insat 4B,Insat 4B,-,-,CSG,ELA3,-,-,35753.0, ,    -, ,-,8.104,AE,OS,-,CO/OG+C,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,7664.0,2007-04-11,35741.0,0.08,GEO/D,Communications,C,Government
2007-016,2454225.44,2007-05-04,Ariane 5ECA,-,V176 (536),Astra 1L/Galaxy 17,Astra 1L,-,-,CSG,ELA3,-,-,35785.0, ,    -, ,-,9.052,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,8612.0,2007-05-14,35704.0,0.14,GEO/D,Communications,B,Commercial
2007-036,2454327.49,2007-08-14,Ariane 5ECA,-,V177 (537),Spaceway 3/BSat 3A,Spaceway 3,-,-,CSG,ELA3,-,-,36451.0, ,    -, ,-,8.482,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,8042.0,2007-11-14,35093.0,0.07,GEO/D,Communications,B,Commercial
2007-044,2454379.42,2007-10-05,Ariane 5GS,-,V178 (526),IS-11/Optus D2,Optus D2,-,-,CSG,ELA3,-,-,35798.0, ,    -, ,-,5.24,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,4800.0,2008-01-02,35775.0,0.04,GEO/S,Communications,B,Commercial
2007-056,2454419.42,2007-11-14,Ariane 5ECA,-,V179 (538),Skynet 5B/StarOne C1,Star One C1,-,-,CSG,ELA3,-,-,35795.0, ,    -, ,-,9.175,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,8735.0,2007-12-13,35777.0,0.03,GEO/S,Communications,B,Commercial
2007-063,2454456.4,2007-12-21,Ariane 5GS,-,V180 (530),Rascom 1/Horizons 2,Rascom 1,-,-,CSG,ELA3,-,-,35791.0, ,    -, ,-,5.904,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,5464.0,2008-03-09,35781.0,0.05,GEO/S,Communications,C,Commercial
2008-008,2454534.67,2008-03-09,Ariane 5ES/ATV,-,V181 (528),ATV 1,ATV 1,-,-,CSG,ELA3,-,-,311.0, ,    -, ,-,23.957,AE,OS,-,CO/G,Sat ISS SD,Wire,-,-,LEO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,19400.0,2008-03-16,307.0,51.64,LLEO/I,Other,C,Commercial
2008-018,2454575.43,2008-04-18,Ariane 5ECA,-,V182 (539),Star One C2/Vinasat,Vinasat,-,-,CSG,ELA3,-,-,35791.0, ,    -, ,-,7.14,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,6700.0,2008-05-08,35782.0,0.02,GEO/S,Communications,C,Commercial
2008-030,2454630.42,2008-06-12,Ariane 5ECA,-,V183 (540),Skynet 5C/Turksat 3A,Skynet 5C,-,-,CSG,ELA3,-,-,35780.0, ,    -, ,-,8.085,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,7645.0,2008-06-20,35556.0,0.82,GEO/D,Communications,D,Military
2008-034,2454655.41,2008-07-07,Ariane 5ECA,-,V184 (541),Protostar 1/Badr 6,Protostar 1,-,-,CSG,ELA3,-,-,35754.0, ,    -, ,-,7.98,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,7540.0,2008-07-14,35702.0,0.06,GEO/D,Communications,B,Commercial
2008-038,2454693.36,2008-08-14,Ariane 5ECA,-,V185 (542),Superbird 7/AMC 21,Superbird 7,-,-,CSG,ELA3,-,-,35982.0, ,    -, ,-,7.733,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,7293.0,2008-08-22,35762.0,0.15,GEO/D,Communications,B,Commercial
2008-065,2454821.44,2008-12-20,Ariane 5ECA,-,V186 (543),Hot Bird 9/Eut. W2M,Hot Bird 9,-,-,CSG,ELA3,-,-,35808.0, ,    -, ,-,8.78,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,8340.0,2009-07-02,35763.0,0.06,GEO/S,Communications,B,Commercial
2009-008,2454875.42,2009-02-12,Ariane 5ECA,-,V187 (545),Hot Bird 10/NSS 9,NSS 9,-,-,CSG,ELA3,-,-,35779.0, ,    -, ,-,7.856,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,7416.0,2009-02-20,35703.0,0.05,GEO/D,Communications,B,Commercial
2009-026,2454966.05,2009-05-14,Ariane 5ECA,-,V188 (546),Herschel/Planck,Herschel,-,-,CSG,ELA3,-,-,1149048.0, ,    -, ,-,5.763,AE,DS,-,CO/G,Sat EEO SE 1,Wire,-,-,BEO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,5323.0,2009-05-15,273.0,5.93,CLO,Observation,C,Commercial
2009-035,2455014.24,2009-07-01,Ariane 5ECA,-,V189 (547),Terrestar 1,Terrestar 1,-,-,CSG,ELA3,-,-,35870.0, ,    -, ,-,6.91,AE,OS,-,CO,Sat GTO SO,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,6910.0,2009-07-08,35707.0,5.94,GEO/I,Communications,B,Commercial
2009-044,2455065.42,2009-08-21,Ariane 5ECA,-,V190 (548),JCSAT 12/Optus D3,JCSAT 12,-,-,CSG,ELA3,-,-,35809.0, ,    -, ,-,6.965,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,6525.0,2009-10-30,35764.0,0.1,GEO/S,Communications,B,Commercial
2009-054,2455106.42,2009-10-01,Ariane 5ECA,-,V191 (549),Amazonas 2/COMSATBw1,Amazonas 2,-,-,CSG,ELA3,-,-,35838.0, ,    -, ,-,8.345,AE,OS,-,CO/G+C,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,7905.0,2009-10-09,35423.0,0.07,GEO/D,Communications,B,Commercial
2009-058,2455134.33,2009-10-29,Ariane 5ECA,-,V192 (550),NSS 12/Thor 6,NSS 12,-,-,CSG,ELA3,-,-,35802.0, ,    -, ,-,9.112,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,8672.0,2009-11-06,35743.0,0.04,GEO/D,Communications,B,Commercial
