Launch_Date,Launch_Vehicle_Simplified,Mission,Orbit,Total_Payload_Mass_kg,Launch_Country,Western_Category,Launch_Tag
2025-04-16,Minotaur 4,NROL-174 Asterion,LEO,500.0,United States,Military LEO,2025-077
2025-04-22,Falcon 9,Bandwagon-3,LEO,812.0,United States,Military LEO,2025-081
2025-04-29,Vega,Biomass,SSO,1131.0,France,Government LEO,2025-090
2025-06-23,Falcon 9,Transporter-14,LEO,3394.8,United States,Small Sat Rideshare,2025-135
2025-06-28,H2,GOSAT-GW,SSO,2900.0,Japan,Government LEO,2025-141
2025-07-23,Falcon 9,TRACERS,SSO,920.0,United States,Small Sat Rideshare,2025-154
2025-07-26,Vega,CO3D/Microcarb,SSO,1320.0,France,Government LEO,2025-156
2025-07-30,GSLV,NISAR,SSO,2393.0,India,Government LEO,2025-163
2025-08-13,Ariane 6,METOP-SG A1,LEO,4040.0,France,Government LEO,2025-172
2025-08-26,Falcon 9,NAOS,SSO,1350.0,United States,Commercial LEO/SSO/MEO,2025-188
2025-09-02,Shavit,'Ofeq-19,LEO,300.0,Israel,Military LEO,2025-193
2025-11-02,Falcon 9,Bandwagon-4,LEO,1824.408,United States,Small Sat Rideshare,2025-248
2025-11-04,Ariane 6,Sentinel-1D,SSO,2157.0,France,Government LEO,2025-251
2025-11-17,Falcon 9,Sentinel-6B,LEO,1140.0,United States,Government LEO,2025-264
2025-11-26,Nuri,-,SSO,592.9,South Korea,Small Sat Rideshare,2025-274
2025-11-28,Falcon 9,Transporter-15,LEO,4203.4,United States,Small Sat Rideshare,2025-276
2025-12-01,Vega,Kompsat-7,SSO,1800.0,France,Government LEO,2025-279
2025-12-09,Falcon 9,INTRUDER?,LEO,1000.0,United States,Military LEO,2025-291
2025-12-17,Ariane 6,Galileosat 33-34,MEO,1466.0,France,Government non-LEO,2025-302
2026-01-03,Falcon 9,COSMO-Skymed SG FM3,SSO,2205.0,United States,Military LEO,2026-001
2026-01-11,Falcon 9,Twilight,SSO,4436.2,United States,Small Sat Rideshare,2026-004
2026-03-12,Firefly Alpha,LM-400 Tech Demo,LEO,1100.0,United States,Commercial LEO/SSO/MEO,2026-046
