Launch_Date,LC39A,LC40,SLC4E
2025-01-13,,15330.0,
2025-01-21,16930.0,,15525.0
2025-01-24,,,16790.0
2025-01-27,,15330.0,
2025-02-01,,,16060.0
2025-02-04,,15330.0,
2025-02-08,,15330.0,
2025-02-11,,15330.0,16790.0
2025-02-15,,15330.0,
2025-02-18,,16790.0,
2025-02-21,,15240.0,
2025-02-23,,,16060.0
2025-02-27,,15330.0,
2025-03-03,,15330.0,
2025-03-13,,15330.0,
2025-03-15,,15240.0,
2025-03-18,,15240.0,
2025-03-26,,,15835.0
2025-03-31,,16100.0,
2025-04-04,,,15525.0
2025-04-06,,16100.0,
2025-04-07,,,15525.0
2025-04-13,15330.0,,
2025-04-14,,15835.0,
2025-04-25,,16100.0,
2025-04-28,,15240.0,15525.0
2025-04-29,15240.0,,
2025-05-02,,16100.0,
2025-05-04,16675.0,,
2025-05-07,,16100.0,
2025-05-10,,16100.0,14950.0
2025-05-13,16100.0,,14950.0
2025-05-14,,16100.0,
2025-05-16,,,14950.0
2025-05-21,,15240.0,
2025-05-23,,,15525.0
2025-05-24,,15240.0,
2025-05-27,,,15815.0
2025-05-28,15525.0,,
2025-05-31,,,15525.0
2025-06-03,,15240.0,
2025-06-04,,,15525.0
2025-06-08,,,14950.0
