Launch_Month,LEO,SSO,MEO,GTO,GEO,HEO,BEO
Dec 2015,6,2,1,3,2,0,0
Jan 2016,1,0,0,4,0,0,0
Feb 2016,2,2,3,0,0,0,0
Mar 2016,3,2,1,3,0,0,1
Apr 2016,2,2,0,1,0,0,0
May 2016,0,2,2,2,0,0,0
Jun 2016,2,2,0,5,1,0,0
Jul 2016,3,0,0,1,0,0,0
Aug 2016,0,3,0,3,1,0,0
Sep 2016,2,2,0,2,0,0,1
Oct 2016,3,0,0,1,0,0,0
Nov 2016,1,3,1,3,1,0,0
Dec 2016,3,4,0,5,0,0,0
Jan 2017,2,1,0,4,0,0,0
Feb 2017,2,1,0,1,0,0,0
Mar 2017,1,3,0,3,0,0,0
Apr 2017,3,0,0,1,0,0,0
May 2017,2,0,0,4,0,1,0
Jun 2017,4,2,0,7,0,0,0
Jul 2017,1,1,0,2,0,0,0
Aug 2017,2,2,0,3,1,0,0
Sep 2017,3,0,1,3,0,1,0
Oct 2017,2,3,0,4,0,0,0
Nov 2017,2,5,1,0,0,0,0
Dec 2017,5,3,1,1,1,0,0
Jan 2018,4,5,1,3,0,0,0
Feb 2018,2,4,1,0,0,0,1
Mar 2018,2,3,2,3,0,0,0
Apr 2018,2,2,0,2,2,0,1
May 2018,2,1,0,2,0,0,2
Jun 2018,3,2,1,2,0,0,0
Jul 2018,2,2,3,1,0,0,0
Aug 2018,0,1,1,1,0,0,1
Sep 2018,2,3,1,2,0,0,0
Oct 2018,2,6,1,1,0,0,1
Nov 2018,4,4,2,3,0,0,0
Dec 2018,4,5,1,3,1,0,1
Jan 2019,3,3,0,1,0,0,0
Feb 2019,2,1,0,2,0,0,0
Mar 2019,4,1,0,3,0,0,0
Apr 2019,2,2,1,2,0,0,0
May 2019,4,1,1,2,0,0,0
Jun 2019,2,1,1,2,0,0,0
Jul 2019,5,3,0,1,0,1,1
Aug 2019,3,3,1,4,1,0,0
Sep 2019,2,3,1,0,0,1,0
Oct 2019,2,1,0,2,0,0,0
Nov 2019,4,5,1,2,0,0,0
Dec 2019,5,5,2,2,1,0,0
Jan 2020,4,1,0,2,0,0,0
Feb 2020,5,1,0,1,0,1,1
Mar 2020,4,0,1,3,0,0,0
Apr 2020,4,0,0,1,0,0,0
May 2020,5,3,0,0,0,1,0
Jun 2020,2,3,1,1,0,0,0
Jul 2020,3,5,0,3,0,0,3
Aug 2020,3,3,0,1,0,0,0
Sep 2020,3,7,0,0,0,0,0
Oct 2020,6,1,1,1,0,0,0
Nov 2020,3,5,2,2,0,0,1
Dec 2020,5,7,0,2,2,0,0
Jan 2021,4,1,0,2,0,0,0
Feb 2021,6,2,0,1,0,1,0
Mar 2021,7,2,0,1,0,0,0
Apr 2021,7,4,0,0,0,0,0
May 2021,9,0,0,1,0,0,0
Jun 2021,8,3,1,2,0,0,0
Jul 2021,6,3,0,2,0,0,0
Aug 2021,6,3,0,3,0,0,0
Sep 2021,5,4,0,1,0,1,0
Oct 2021,4,3,0,3,0,0,1
Nov 2021,7,6,0,1,0,1,1
Dec 2021,10,3,1,6,2,0,1
Jan 2022,4,3,0,0,1,0,0
Feb 2022,8,5,0,0,0,0,0
Mar 2022,8,2,0,1,0,1,0
Apr 2022,7,6,0,1,0,0,0
May 2022,7,5,0,0,0,0,0
Jun 2022,8,4,0,3,0,0,1
Jul 2022,8,4,2,1,1,0,0
Aug 2022,6,10,0,1,0,0,1
Sep 2022,10,4,0,2,0,0,0
Oct 2022,10,8,1,2,2,0,0
Nov 2022,8,5,1,3,1,1,1
Dec 2022,8,6,1,1,0,1,1
Jan 2023,8,5,1,1,1,0,0
Feb 2023,8,0,0,3,1,0,0
Mar 2023,17,5,0,2,1,0,0
Apr 2023,5,4,1,1,0,0,1
May 2023,13,3,0,3,1,0,0
Jun 2023,6,5,0,1,1,0,0
Jul 2023,10,4,0,2,1,0,1
Aug 2023,12,6,1,2,0,0,1
Sep 2023,17,4,0,1,1,0,0
Oct 2023,14,2,0,0,0,0,1
Nov 2023,9,4,1,2,0,0,0
Dec 2023,14,11,2,1,0,1,0
Jan 2024,16,4,0,1,0,0,1
Feb 2024,9,5,0,4,0,0,1
Mar 2024,14,5,0,1,0,0,2
Apr 2024,13,3,1,0,2,0,0
May 2024,15,8,1,1,0,0,1
Jun 2024,12,3,0,3,0,0,0
Jul 2024,8,3,0,1,1,0,0
Aug 2024,14,4,0,2,0,1,0
Sep 2024,12,9,2,0,0,0,0
Oct 2024,12,4,0,1,0,0,3
Nov 2024,18,9,0,3,0,0,0
Dec 2024,16,7,1,5,0,1,0
Jan 2025,11,4,1,5,0,0,1
