Launch_Date,LC39A,LC40,SLC4E
2023-11-20,,,292.0
2023-11-22,,292.0,
2023-11-28,,292.0,
2023-12-03,,292.0,
2023-12-07,,291.0,
2023-12-08,,,295.0
2023-12-19,,292.0,
2023-12-23,,292.0,
2023-12-29,,287.0,
2024-01-03,,,344.0
2024-01-07,,289.0,
2024-01-14,,,293.0
2024-01-15,,291.0,
2024-01-24,,,296.0
2024-01-29,291.0,,294.0
2024-02-10,,,295.0
2024-02-15,,,294.0
2024-02-23,,,294.0
2024-02-25,,277.0,
2024-02-29,,292.0,
2024-03-04,,292.0,
2024-03-10,,292.0,
2024-03-11,,,280.0
2024-03-16,288.0,,
2024-03-19,,,314.0
2024-03-24,292.0,,
2024-03-25,,293.0,
2024-03-31,,292.0,
2024-04-02,,,293.0
2024-04-05,,292.0,
2024-04-07,,,344.0
2024-04-10,,292.0,
2024-04-13,,291.0,
2024-04-17,292.0,,
2024-04-18,,292.0,
2024-04-23,,292.0,
2024-04-28,,293.0,
2024-05-03,,292.0,
2024-05-06,,292.0,
2024-05-08,320.0,,
2024-05-10,,,296.0
2024-05-13,,293.0,
2024-05-14,,,296.0
2024-05-18,,292.0,
2024-05-23,,292.0,
2024-05-24,292.0,,
2024-05-28,,283.0,
2024-06-01,,281.0,
2024-06-05,,286.0,
2024-06-08,,279.0,289.0
2024-06-19,,,296.0
2024-06-23,,278.0,
2024-06-24,,,295.0
2024-06-27,,275.0,
2024-07-03,,297.0,
2024-07-12,,,255.0
2024-07-27,276.0,,
2024-07-28,,281.0,277.0
2024-08-02,285.0,,
2024-08-04,,,279.0
2024-08-10,,297.0,
2024-08-12,278.0,,
2024-08-20,,298.0,
2024-08-28,,296.0,
2024-08-31,,300.0,292.0
2024-09-05,,302.0,
2024-09-13,,,298.0
2024-09-20,,,295.0
2024-09-25,,,299.0
2024-10-15,,291.0,280.0
2024-10-18,,295.0,
2024-10-23,,291.0,
2024-10-26,,302.0,
2024-10-30,,279.0,295.0
2024-11-07,,291.0,
2024-11-09,,,295.0
2024-11-11,,289.0,
2024-11-14,,285.0,290.0
2024-11-18,,,290.0
2024-11-21,,294.0,
2024-11-24,,,290.0
2024-11-25,,331.0,
2024-11-27,291.0,,
2024-11-30,,290.0,
2024-12-04,,284.0,
2024-12-05,,,283.0
2024-12-08,,293.0,
2024-12-13,,,280.0
2024-12-23,288.0,,
2024-12-29,,,280.0
2024-12-31,277.0,,
2025-01-06,,279.0,
2025-01-08,282.0,,
2025-01-10,,291.0,
2025-01-13,,291.0,
2025-01-21,313.0,,274.0
2025-01-24,,,281.0
2025-01-27,,292.0,
2025-02-01,,,293.0
2025-02-04,,292.0,
2025-02-08,,291.0,
2025-02-11,,292.0,288.0
2025-02-15,,291.0,
2025-02-18,,284.0,
2025-02-21,,279.0,
2025-02-23,,,280.0
2025-02-27,,292.0,
2025-03-03,,292.0,
2025-03-13,,289.0,
2025-03-15,,292.0,
2025-03-18,,292.0,
2025-03-26,,,290.0
2025-03-31,,285.0,
2025-04-04,,,284.0
2025-04-06,,290.0,
2025-04-07,,,564.0
2025-04-13,292.0,,
2025-04-14,,286.0,
2025-04-25,,272.0,
2025-04-28,,292.0,281.0
2025-04-29,293.0,,
2025-05-02,,283.0,
2025-05-04,278.0,,
2025-05-07,,283.0,
2025-05-10,,278.0,280.0
2025-05-13,278.0,279.0,
2025-05-14,,278.0,
2025-05-16,,,279.0
2025-05-21,,292.0,
